Date,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,AXP,BAC,BBT,BEN,BK,BLK,BRK-B,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,ETFC,FITB,FRC,GS,HBAN,HIG,ICE,IVZ,JEF,JPM,KEY,L,LNC,MCO,MET,MKTX,MMC,MS,MSCI,MTB,NDAQ,NTRS,PBCT,PFG,PGR,PNC,PRU,RE,RF,RJF,SCHW,SIVB,SPGI,STI,STT,SYF,TMK,TROW,TRV,UNM,USB,WFC,WLTW,ZION
2016-01-29,,,,q10,,q10,,,q10,,,q10,,,,,,,,,,,,q10,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,,,,
2016-02-29,,,,q10,,q10,,,q10,,,q10,,,,,,,,,q10,,,q10,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,,,,,,q10,q10,,q10,,,q10,,,,,,,,,q10,,,,,,,,,,,q10,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-29,,,,,,q10,q10,,q10,,,q10,,,,,,,,,q10,,,,,,,,,,,q10,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-31,,,,,,q10,q10,,q10,,,q10,,,,,,,,,,,,,,,,,,,,q10,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,q10,q10,,q10,,,q10,,,,,,,,,,,,,,,,,,,,,q10,,,,,,,,,q10,,,,,,,,,,,,,,,,,q10,,,,,,,,,
2016-07-29,,,,,,q10,q10,,,,,q10,,,,,,,,,,,,,,,,,,,,q10,,,,,q10,,,,,q10,,,,,,,,,,,,,,,,,q10,,,,,,,,,
2016-08-31,,,,,,q10,q10,,q10,,,,,,,,,,,,,,q10,,,,,,,,,,q10,,,,q10,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,,,,,q10,q10,,q10,,,q10,,,,,,,,,,,q10,,,,,,,,,,q10,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-31,,,,,,q10,q10,,q10,,,q10,,,,q10,,,,,,,,,,,,q10,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,,,,,,q10,q10,,q10,,,q10,,,,,,,,,,,,,,,,,,,,q10,,,,,q10,,,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,
2016-12-30,,,,,,q10,q10,,q10,,,q10,,,,q10,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,
2017-01-31,,,,,,q10,q10,,,,,q10,,,,,,,,,,,,,,,,,,,,q10,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,q10,,,,q10,,
2017-02-28,,,,,,q10,,,,,,q10,,,,,,,,,,,,,,,,,,,,q10,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,q10,,q10,,,,q10,,
2017-03-31,,q10,,,,q10,,,,,,q10,,,,,,,,,,,,,,,,,,q10,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,,q10,,
2017-04-28,,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,q10,,,,q10,,
2017-05-31,,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,q10,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,q10,,,,q10,,
2017-06-30,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,q10,q10,,,q10,q10,
2017-07-31,,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,q10,q10,,,q10,q10,
2017-08-31,,q10,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,q10,,,q10,,,q10,,
2017-09-29,,q10,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,q10,,,q10,q10,
2017-10-31,,q10,q10,,,,,,,,,,,,,,q10,,,q10,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,q10,,,q10,,,,,
2017-11-30,,q10,,,,,,,,,,q10,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,,,,,,,,,q10,,,,,,,,,,,,,q10,,,,,,q10,,
2017-12-29,,q10,q10,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,,,,,,,,,q10,,,,,,,,,,,,,q10,,,,,,q10,,
2018-01-31,,q10,q10,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,,,,,,,,,q10,,,,,,,,,,,,,q10,,,,,,q10,,
2018-02-28,,q10,q10,,,,,,,,,q10,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,,,,,,,,,q10,,,,,,,,,,,,,q10,,,,,,,,
2018-03-30,,q10,q10,,,,,,,,,q10,,,,,q10,,,q10,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,
2018-04-30,,q10,q10,,,,,,,,,q10,,,,,q10,,,q10,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,
2018-05-31,,q10,q10,,,,,,,,,q10,,,,,q10,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,q10,,
2018-06-29,,q10,q10,,,,,,,,,q10,,,,,q10,,,q10,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,
2018-07-31,,q10,,,,,,,,,,q10,,,,,q10,,,q10,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,q10,,,,,,,,,,,,,,q10,,,
2018-08-31,,q10,,,,,,,,,,q10,,,,,q10,,,q10,,,,,,,,,,,,q10,,,,,,,,,,,,,,,,,,,q10,q10,,,,,,,,,,,,,,,,
2018-09-28,,q10,,,,,,,,,,q10,,,,,q10,,,,,,,,,,,,,,,q10,,,,,q10,,,,,,,,,,,,,,q10,q10,,,,,,,,,,,,,,,,
2018-10-31,,q10,,,,,,,,,,q10,,,,,q10,,,,,,,,,,,q10,,,,q10,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,,q10,,,,,,,,,,q10,,,,,q10,,,,,,,,,,,,,,,,q10,,,,q10,,,,,,,,,,,,,,q10,,,,,,,,,,,,,q10,,,,
2018-12-31,,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,q10,,q10,,q10,,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,,
2019-01-31,,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,q10,,,,q10,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,,
2019-02-28,,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,q10,,,,q10,,,,,q10,,,,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,,
2019-03-29,,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,q10,,,,q10,,,,,q10,,,,,,,,,,,q10,,,,,,,,,,,,,,,,q10,,,,
2019-04-30,,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,q10,,,,q10,q10,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,,,q10,,,,
2019-05-31,,q10,,,,q10,,,,,,,,,,,,,,,,,,,,,,q10,,,,q10,q10,,,,,,,,,,,,,,,,,,,,,,,,,,q10,,,,,q10,,,,
2019-06-28,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,q10,,,,q10,q10,,,,,,,,,q10,,,,,,,,,,,,,,,,,q10,,,,,q10,,,,
2019-07-31,,,,,,q10,,,,,,,,,,,,,,,,,,,,,,q10,,,,q10,q10,,,,,,,,,q10,,,,,,,,,,,,,,,,,q10,,,,,q10,,,,
